Box_X,Box_Y,Box_Width,Box_Height,Confidence,Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,Extra
57.4618,589.395,13.3577,29.9107,9.83477e-07,56.5187,585.677,62.063,587.487,59.4476,590.66,57.4153,593.464,60.7224,594.743,0.982455
68.9959,590.565,17.5414,16.3908,3.69549e-06,64.5659,585.238,69.4386,586.678,66.5556,587.85,66.7412,591.411,68.8702,592.811,0.98277
75.9111,588.181,18.6095,17.8905,5.69224e-06,72.4023,582.001,77.0282,585.103,74.0689,584.042,74.1101,587.624,76.4266,590.608,0.982782
84.045,585.646,23.0246,10.566,2.02656e-06,81.1817,576.692,84.9354,581.361,80.849,579.787,82.5063,584.108,83.5799,588.348,0.982986
92.3721,586.648,19.3098,5.55031,5.1856e-06,90.1714,577.221,93.101,581.936,89.6592,579.83,91.206,583.783,91.9075,588.023,0.982957
100.931,587.248,17.8065,5.43488,3.09944e-06,97.6265,576.623,100.796,579.199,97.6322,579.059,98.7858,584.815,99.1946,587.323,0.983032
108.898,587.823,18.9437,7.835,2.17557e-06,104.861,578.108,108.402,578.943,105.673,580.372,106.034,586.747,106.465,587.764,0.983007
117.048,589.652,20.558,15.2651,1.10269e-06,110.74,581.028,115.704,580.393,113.642,583.18,112.41,589.15,113.962,588.936,0.982898
129.093,589.802,14.3487,22.0491,2.68221e-06,122.592,583.382,127.795,582.278,125.898,586.126,125.295,591.33,126.555,590.617,0.982805
133.037,590.503,14.5686,25.3649,1.54972e-06,127.322,585.664,132.08,584.643,130.272,588.015,129.472,591.824,131.341,590.951,0.982764
141.102,590.555,15.6574,23.0749,1.99676e-06,135.062,585.976,139.878,584.925,138.017,588.334,137.236,592.139,139.148,591.228,0.982756
148.24,590.315,12.8525,23.2618,2.32458e-06,143.152,586.269,147.936,585.163,146.004,588.603,145.244,592.288,147.322,591.29,0.982749
156.034,590.406,12.5156,22.8113,2.5332e-06,150.967,586.434,155.843,585.285,153.847,588.737,153.13,592.514,155.249,591.476,0.982753
163.91,589.962,12.537,23.7538,2.95043e-06,159.253,586.997,164.135,585.983,162.286,589.443,161.531,592.88,163.754,591.95,0.982714
171.977,590.009,13.2319,23.6805,2.5034e-06,167.082,586.907,172.033,585.886,170.155,589.324,169.402,592.868,171.637,591.925,0.982718
180.227,590.074,13.9819,24.1904,2.29478e-06,175.062,586.772,180.07,585.803,178.16,589.253,177.428,592.841,179.633,591.95,0.982728
188.183,589.98,13.6228,24.858,2.17557e-06,183.096,586.663,188.068,585.714,186.163,589.154,185.436,592.708,187.619,591.835,0.982729
196.522,590.253,14.2729,25.3561,1.81794e-06,190.909,586.312,195.981,585.342,193.965,588.838,193.288,592.609,195.402,591.739,0.98276
204.524,590.17,13.8935,26.0588,1.87755e-06,199.047,586.287,204.076,585.327,202.088,588.829,201.404,592.543,203.5,591.683,0.982758
212.522,590.209,13.7005,26.1722,1.84774e-06,207.052,586.263,212.074,585.299,210.074,588.795,209.386,592.527,211.478,591.665,0.982762
220.715,590.214,14.4711,25.8104,1.81794e-06,215.121,586.267,220.128,585.299,218.165,588.808,217.444,592.524,219.534,591.66,0.982756
228.366,590.214,13.1626,25.7675,1.99676e-06,223.114,586.335,228.067,585.27,226.073,588.772,225.342,592.473,227.502,591.509,0.982756
236.318,590.237,13.128,25.3779,2.11596e-06,231.06,586.37,236.017,585.295,234.01,588.808,233.286,592.512,235.46,591.54,0.982758
244.07,590.112,12.6532,25.0771,2.35438e-06,239.065,586.513,243.973,585.405,242.001,588.919,241.277,592.542,243.482,591.536,0.982747
251.657,590.18,11.2649,25.2045,2.5034e-06,247.028,586.554,251.964,585.441,249.92,588.93,249.254,592.609,251.472,591.597,0.982756
259.922,589.801,13.0745,24.5109,2.5034e-06,255.123,586.818,259.985,585.857,258.166,589.233,257.416,592.672,259.577,591.801,0.982714
267.779,589.865,12.8739,24.7394,2.26498e-06,263.058,586.708,267.959,585.763,266.119,589.084,265.356,592.612,267.522,591.751,0.982714
275.884,589.779,13.9058,24.6817,1.93715e-06,270.979,586.628,275.893,585.697,274.122,589.034,273.35,592.563,275.472,591.734,0.982707
283.03,589.951,10.483,25.9308,1.90735e-06,278.937,586.568,283.883,585.7,281.952,588.951,281.243,592.54,283.411,591.754,0.982724
292.163,590.023,14.5795,26.6584,1.40071e-06,286.823,586.128,291.948,585.526,290.028,588.893,289.418,592.624,291.404,592.125,0.982772
299.66,590.27,12.5932,27.5461,1.19209e-06,294.852,585.978,300.023,585.443,297.982,588.721,297.341,592.488,299.426,592.05,0.982775
308.931,590.313,16.0822,28.3947,9.83477e-07,303.373,584.954,308.582,584.368,306.446,587.868,305.942,592.14,307.758,591.733,0.982849
316.811,590.268,16.2356,27.5021,1.01328e-06,311.351,584.704,316.482,584.147,314.384,587.517,313.736,591.825,315.592,591.448,0.982833
325.736,590.599,18.3118,26.7533,6.55651e-07,319.382,583.962,324.681,583.168,322.543,586.706,321.889,591.578,323.561,591.073,0.982874
334.333,590.358,18.6331,26.583,8.64267e-07,327.814,584.244,333.039,583.43,331.015,587.059,330.405,591.758,331.991,591.226,0.982853
341.875,590.755,17.9674,27.5006,8.34465e-07,335.214,584.819,340.468,583.967,338.494,587.57,337.9,592.085,339.543,591.494,0.982841
351.308,590.236,18.6013,25.3261,1.57952e-06,344.508,585.039,349.693,584.15,347.827,587.837,347.236,592.149,348.798,591.512,0.982797
